Position,Oral,Written,Combine,Class
Captain,89.52,95,92.808,1
Captain,80,95,89,1
Captain,82.38,87,85.152,1
Captain,88.57,76,81.028,1
Captain,76.19,84,80.876,1
Captain,76.19,82,79.676,1
Captain,76.19,82,79.676,1
Captain,70,84,78.4,1
Captain,73.81,81,78.124,1
Captain,84.29,72,76.916,1
Captain,87.62,69,76.448,1
Captain,80,74,76.4,1
Captain,79.05,74,76.02,1
Captain,73.81,77,75.724,1
Captain,76.67,74,75.068,1
Captain,82.38,70,74.952,1
Captain,73.33,74,73.732,1
Captain,70,76,73.6,1
Captain,68.57,74,71.828,1
Captain,82.38,64,71.352,1
Captain,56.67,81,71.268,1
Captain,70.95,70,70.38,1
Captain,62.38,75,69.952,0
Captain,78.57,64,69.828,0
Captain,71.43,68,69.372,0
Captain,71.43,68,69.372,0
Captain,59.05,76,69.22,0
Captain,60.48,75,69.192,0
Captain,57.14,75,67.856,0
Captain,52.38,77,67.152,0
Captain,67.14,65,65.856,0
Captain,55.24,68,62.896,0
Captain,58.57,65,62.428,0
Captain,48.57,69,60.828,0
Captain,67.62,56,60.648,0
Captain,57.14,61,59.456,0
Captain,70.48,50,58.192,0
Captain,42.86,67,57.344,0
Captain,53.81,58,56.324,0
Captain,60,53,55.8,0
Captain,54.76,49,51.304,0
Lieutenant,88.75,91,90.1,1
Lieutenant,87.5,87,87.2,1
Lieutenant,77.5,91,85.6,1
Lieutenant,85,84,84.4,1
Lieutenant,80,87,84.2,1
Lieutenant,73.75,91,84.1,1
Lieutenant,80.83,84,82.732,1
Lieutenant,73.33,89,82.732,1
Lieutenant,63.75,95,82.5,1
Lieutenant,68.33,91,81.932,1
Lieutenant,69.58,86,79.432,1
Lieutenant,73.75,81,78.1,1
Lieutenant,58.75,89,76.9,1
Lieutenant,77.5,76,76.6,1
Lieutenant,61.25,86,76.1,1
Lieutenant,80.42,73,75.968,1
Lieutenant,74.17,77,75.868,1
Lieutenant,63.33,83,75.132,1
Lieutenant,87.5,66,74.6,1
Lieutenant,65.83,80,74.332,1
Lieutenant,78.33,70,73.332,1
Lieutenant,70.83,74,72.732,1
Lieutenant,66.67,76,72.268,1
Lieutenant,92.08,59,72.232,1
Lieutenant,72.5,72,72.2,1
Lieutenant,73.33,71,71.932,1
Lieutenant,55,82,71.2,1
Lieutenant,69.17,72,70.868,1
Lieutenant,65.83,74,70.732,1
Lieutenant,58.33,79,70.732,1
Lieutenant,53.75,82,70.7,1
Lieutenant,77.5,66,70.6,1
Lieutenant,73.75,68,70.3,1
Lieutenant,71.67,69,70.068,1
Lieutenant,64.58,73,69.632,0
Lieutenant,70.83,68,69.132,0
Lieutenant,73.75,66,69.1,0
Lieutenant,58.75,76,69.1,0
Lieutenant,51.25,80,68.5,0
Lieutenant,62.5,72,68.2,0
Lieutenant,51.67,79,68.068,0
Lieutenant,70.83,65,67.332,0
Lieutenant,64.58,69,67.232,0
Lieutenant,79.17,59,67.068,0
Lieutenant,56.25,73,66.3,0
Lieutenant,55,73,65.8,0
Lieutenant,66.25,65,65.5,0
Lieutenant,50.42,75,65.168,0
Lieutenant,57.5,70,65,0
Lieutenant,69.17,60,63.668,0
Lieutenant,51.67,71,63.268,0
Lieutenant,71.67,57,62.868,0
Lieutenant,50.42,71,62.768,0
Lieutenant,56.25,66,62.1,0
Lieutenant,56.67,64,61.068,0
Lieutenant,56.25,64,60.9,0
Lieutenant,42.5,73,60.8,0
Lieutenant,51.25,67,60.7,0
Lieutenant,55,64,60.4,0
Lieutenant,51.25,66,60.1,0
Lieutenant,49.58,67,60.032,0
Lieutenant,60,60,60,0
Lieutenant,46.25,68,59.3,0
Lieutenant,60.83,58,59.132,0
Lieutenant,57.92,58,57.968,0
Lieutenant,51.25,62,57.7,0
Lieutenant,44.58,66,57.432,0
Lieutenant,44.17,66,57.268,0
Lieutenant,45.42,65,57.168,0
Lieutenant,55.83,58,57.132,0
Lieutenant,54.58,58,56.632,0
Lieutenant,58.75,55,56.5,0
Lieutenant,40.83,64,54.732,0
Lieutenant,52.08,56,54.432,0
Lieutenant,48.33,58,54.132,0
Lieutenant,52.92,49,50.568,0
Lieutenant,45.83,46,45.932,0
